ID,착과량(int)
TEST_0000,248.6835690596145
TEST_0001,754.4423233960267
TEST_0002,153.98401072832868
TEST_0003,449.1034289690414
TEST_0004,678.5803578247602
TEST_0005,287.85330855343614
TEST_0006,74.83830411057089
TEST_0007,37.10820767977281
TEST_0008,354.91698174796886
TEST_0009,242.0527027652955
TEST_0010,557.7019203498588
TEST_0011,753.5446936741698
TEST_0012,450.65783050633655
TEST_0013,377.2161332135264
TEST_0014,68.38750225096172
TEST_0015,143.91934259479476
TEST_0016,461.98542877562653
TEST_0017,407.7576579230974
TEST_0018,253.41468240588836
TEST_0019,576.575276116921
TEST_0020,249.67575010622585
TEST_0021,349.01261447386435
TEST_0022,447.1007580124328
TEST_0023,247.13758506845483
TEST_0024,154.2829931455384
TEST_0025,647.7188027979929
TEST_0026,158.34680270752781
TEST_0027,756.1557216727383
TEST_0028,638.026683479671
TEST_0029,450.91747028283345
TEST_0030,36.935954863005854
TEST_0031,581.0068491905838
TEST_0032,653.1635214396384
TEST_0033,547.4614852939634
TEST_0034,555.7752700859312
TEST_0035,351.9850015518217
TEST_0036,247.40281138544844
TEST_0037,642.5188016035762
TEST_0038,22.723608904196887
TEST_0039,450.0868523829093
TEST_0040,375.09637001973607
TEST_0041,154.66782545276362
TEST_0042,746.3425766612427
TEST_0043,88.95123593061044
TEST_0044,585.5351985032671
TEST_0045,348.8692227906017
TEST_0046,754.9335048205504
TEST_0047,466.0833618204694
TEST_0048,353.37892638907954
TEST_0049,451.53538644866745
TEST_0050,551.8841469608697
TEST_0051,648.5295736126457
TEST_0052,413.73919292021196
TEST_0053,455.9308666230392
TEST_0054,362.557465337228
TEST_0055,160.02688159615428
TEST_0056,750.0083158255928
TEST_0057,546.056271055522
TEST_0058,562.0796734175134
TEST_0059,547.7194350873826
TEST_0060,446.83108835911645
TEST_0061,49.41875281720659
TEST_0062,547.3313174812521
TEST_0063,351.69568575678255
TEST_0064,537.3560055656537
TEST_0065,352.56579676793626
TEST_0066,436.44720170564216
TEST_0067,451.1845169566429
TEST_0068,156.47856869508706
TEST_0069,677.8292097409866
TEST_0070,749.9314802709032
TEST_0071,749.173919090755
TEST_0072,644.9829848209008
TEST_0073,252.76000605095203
TEST_0074,157.4288668700185
TEST_0075,249.1003161314501
TEST_0076,155.86978132912432
TEST_0077,653.4285688708618
TEST_0078,749.2051398326845
TEST_0079,345.9427550363427
TEST_0080,247.77820351717045
TEST_0081,45.3666736777485
TEST_0082,46.98256166899711
TEST_0083,646.879147982865
TEST_0084,639.0662774011195
TEST_0085,476.5403635902206
TEST_0086,246.97451731443073
TEST_0087,351.1249368564985
TEST_0088,66.69857338811575
TEST_0089,156.3022904069781
TEST_0090,37.66468278946297
TEST_0091,376.5129882026393
TEST_0092,544.505536799598
TEST_0093,546.1703685829458
TEST_0094,538.2254265360318
TEST_0095,350.6316914030051
TEST_0096,249.35028576288246
TEST_0097,249.2044906613741
TEST_0098,243.3627184736375
TEST_0099,643.8701898493595
TEST_0100,706.9849075828805
TEST_0101,249.6880040305328
TEST_0102,449.5388754850029
TEST_0103,556.7131430403102
TEST_0104,234.50781264591933
TEST_0105,750.6034868146506
TEST_0106,155.91106491228317
TEST_0107,49.797061253014476
TEST_0108,453.29427806029616
TEST_0109,245.618202947688
TEST_0110,648.4810246072325
TEST_0111,338.1436792455888
TEST_0112,572.255538873354
TEST_0113,451.2774045488087
TEST_0114,702.3482308330066
TEST_0115,156.2208830320147
TEST_0116,658.8156466114685
TEST_0117,647.9542677025962
TEST_0118,348.35738864971125
TEST_0119,465.9803082567703
TEST_0120,154.61612989968788
TEST_0121,451.46228182193914
TEST_0122,341.24635814045183
TEST_0123,540.9122440035596
TEST_0124,741.2070907640184
TEST_0125,556.378781888562
TEST_0126,289.6412628211626
TEST_0127,558.8765785196005
TEST_0128,546.2524627720848
TEST_0129,351.5677773398027
TEST_0130,46.07529259261574
TEST_0131,245.41166691140748
TEST_0132,462.2568846451462
TEST_0133,349.04096422019677
TEST_0134,123.01626457456516
TEST_0135,250.04298793187584
TEST_0136,746.2130091389346
TEST_0137,284.85869349655894
TEST_0138,155.76017017608748
TEST_0139,552.6532917121584
TEST_0140,755.859188926393
TEST_0141,753.0846066354029
TEST_0142,247.46758941720722
TEST_0143,450.4347509182368
TEST_0144,40.46641568404201
TEST_0145,556.9692933063452
TEST_0146,251.1425541865906
TEST_0147,164.84383559963558
TEST_0148,142.6272396399332
TEST_0149,414.55649002451133
TEST_0150,568.0169491930862
TEST_0151,649.0663673609714
TEST_0152,754.9091728822317
TEST_0153,160.14266816675774
TEST_0154,546.5809198429929
TEST_0155,748.9440875460896
TEST_0156,519.6706039453198
TEST_0157,340.5147597582384
TEST_0158,155.81639737313364
TEST_0159,249.83541992395865
TEST_0160,545.6451624611957
TEST_0161,249.83497010387106
TEST_0162,226.60841002585335
TEST_0163,26.493772772221728
TEST_0164,550.4524546166026
TEST_0165,555.7855870629265
TEST_0166,627.1315523367994
TEST_0167,651.1035466366588
TEST_0168,559.1392278638705
TEST_0169,354.67413103674704
TEST_0170,653.2501099617168
TEST_0171,546.5517210359527
TEST_0172,458.6266209652086
TEST_0173,251.9341713220895
TEST_0174,753.4422950496701
TEST_0175,150.593236777611
TEST_0176,253.35787839879615
TEST_0177,360.3147161867546
TEST_0178,157.67342553186973
TEST_0179,350.3601273552885
TEST_0180,251.34749507263277
TEST_0181,352.1202493349338
TEST_0182,455.72067339293886
TEST_0183,250.6763244629717
TEST_0184,752.9681170673157
TEST_0185,545.4770603289505
TEST_0186,338.77860473035116
TEST_0187,653.5496054760034
TEST_0188,645.5713731130187
TEST_0189,254.93333289290211
TEST_0190,648.3589551473093
TEST_0191,156.8085311343202
TEST_0192,353.08912908888544
TEST_0193,646.5866428593828
TEST_0194,646.8761125169361
TEST_0195,748.178578824884
TEST_0196,250.92700756325453
TEST_0197,115.37228473808436
TEST_0198,248.83218496190025
TEST_0199,25.006617193859118
TEST_0200,153.40099281454007
TEST_0201,349.84516702673176
TEST_0202,250.03964255649697
TEST_0203,152.28349497850553
TEST_0204,451.31857646460065
TEST_0205,350.2860782939915
TEST_0206,44.35093680508307
TEST_0207,308.0863789096571
TEST_0208,263.9043633890804
TEST_0209,451.51565786476533
TEST_0210,450.2814200891183
TEST_0211,158.34724524902876
TEST_0212,249.6901240663686
TEST_0213,557.2276434584743
TEST_0214,350.5205225319314
TEST_0215,29.44617357598721
TEST_0216,749.2782901891741
TEST_0217,156.29219503059957
TEST_0218,450.3824233173046
TEST_0219,449.7512033891421
TEST_0220,153.78632437876058
